egg_type,time_breakfast,time_lunch,time_dinner,effort,new_food,pickiness
Omlette,20,10,25,1,3,2
Fried,5,0,30,3,3,2
Sunny Side Up,5,20,20,2,3,1
Fried,0,2,50,1,1,4
Poached,30,40,30,4,4,4
Sunny Side Up,10,15,30,1,4,1
Sunny Side Up,10,20,30,2,3,4
Soft Boiled,10,40,70,2,3,2
Omlette,15,30,0,3,2,2
Omlette,15,30,30,3,4,2
Hard Boiled,20,20,40,2,2,3
Sunny Side Up,20,45,45,3,2,2
Sunny Side Up,10,20,20,2,3,3
Sunny Side Up,5,10,60,2,4,2
Scrambled,10,15,25,2,3,2
Omlette,20,20,30,3,3,2
Scrambled,5,30,30,2,2,4
Scrambled,6,10,0.5,3,3,3
Sunny Side Up,10,20,60,2,2,2
Omlette,20,40,60,1,1,4
Poached,5,10,15,2,2,3
Scrambled,15,15,90,2,4,1
Poached,30,45,70,4,4,1
Omlette,60,45,45,2,3,2
Scrambled,5,15,30,3,3,1
Poached,20,30,40,2,3,2
Soft Boiled,15,25,30,2,4,1
Scrambled,15,25,60,3,2,4
Fried,10,10,60,2,4,1
Fried,2,45,90,3,3,2
Fried,5,5,45,1,3,3
Sunny Side Up,1,0,15,2,4,1
Scrambled,15,20,45,1,3,2
Scrambled,15,30,30,2,4,1
Scrambled,15,35,45,2,2,3
Scrambled,10,15,45,2,2,3
Omlette,30,60,60,3,3,2
Hard Boiled,15,20,20,3,4,1
Sunny Side Up,0,25,30,3,4,2
Scrambled,10,35,50,3,3,3
Scrambled,3,5,10,1,2,4
Sunny Side Up,5,15,50,3,4,1
Sunny Side Up,10,50,70,4,4,2
Scrambled,0,10,30,2,1,4
Fried,30,60,60,3,4,2
Hard Boiled,15,20,40,2,2,3
Soft Boiled,20,0,70,2,4,1
Soft Boiled,5,5,60,3,3,2
Fried,2,3,45,1,4,1
Fried,30,30,60,2,3,2
Scrambled,5,20,90,1,2,4
Poached,20,10,60,4,2,2
Scrambled,10,10,45,2,3,2
Fried,15,10,60,2,3,2
Scrambled,10,20,20,3,1,4
Sunny Side Up,3,20,40,2,4,1
Omlette,30,40,40,3,4,1
Sunny Side Up,10,30,60,3,3,2
Scrambled,15,30,60,3,2,3
Poached,20,30,40,3,4,2
Sunny Side Up,5,35,60,2,3,2
Scrambled,10,10,45,3,4,1
Fried,0,0,20,3,2,2
Omlette,5,20,50,3,2,3
Scrambled,10,30,30,2,3,1
Poached,20,15,75,3,4,1
Fried,25,30,45,3,3,3
Scrambled,15,15,40,2,1,4
Hard Boiled,15,15,20,2,4,1
Scrambled,15,10,90,2,3,3
Scrambled,1,30,30,2,1,4
Scrambled,60,10,70,2,3,2
Scrambled,15,15,30,2,3,2
Scrambled,10,30,40,2,2,3
Scrambled,1,3,20,1,2,3
Scrambled,2,10,40,2,3,2
Scrambled,0,30,45,1,3,2
Sunny Side Up,0,8,35,2,4,1
Fried,2,3,30,2,3,3
Omlette,20,30,70,3,4,1
Scrambled,15,15,45,2,4,1
Scrambled,2,10,20,1,3,3
Omlette,10,20,30,2,3,2
Omlette,1,5,45,1,3,3
Soft Boiled,0,5,90,3,2,3
Soft Boiled,5,5,30,2,4,1
Sunny Side Up,0,3,40,2,3,4
Fried,5,20,70,2,3,2
Scrambled,15,30,30,2,4,1
Fried,15,15,35,2,2,2
Sunny Side Up,15,10,60,2,2,3
Sunny Side Up,5,5,30,2,2,4
Scrambled,2,10,25,2,3,3
Scrambled,3,4,15,1,2,3
Fried,0,15,15,1,1,4
Omlette,20,60,60,3,4,1
Omlette,10,20,7,1,4,2
Sunny Side Up,3,15,30,2,4,1
Fried,10,30,40,2,4,1
Hard Boiled,15,30,30,3,2,4
Scrambled,10,30,30,4,2,2
Sunny Side Up,30,45,60,2,2,3
Scrambled,45,30,60,3,3,1
Sunny Side Up,15,20,45,4,1,2
Scrambled,12,20,40,3,4,2
Omlette,10,60,60,4,4,2
Scrambled,30,45,45,2,4,3
Fried,5,30,30,3,4,2
Soft Boiled,5,30,30,2,4,3
Soft Boiled,10,30,40,1,4,1
Scrambled,15,15,30,2,3,3
Scrambled,10,20,45,2,3,3
Omlette,5,30,30,2,3,1
Sunny Side Up,5,5,20,2,4,1
Fried,5,15,30,3,4,2
Scrambled,20,30,40,3,2,2
Fried,5,15,45,2,4,2
Sunny Side Up,25,20,45,2,4,3
Scrambled,2,0,25,3,4,1
Scrambled,20,30,40,1,4,1
Sunny Side Up,20,40,40,3,3,2
Scrambled,2,7,45,3,3,1
Scrambled,5,7,15,2,4,2
Scrambled,15,15,45,2,4,1
Scrambled,5,10,15,2,2,3
Scrambled,20,20,50,2,2,3
Scrambled,20,25,30,2,3,2
Fried,10,20,40,3,2,3
Sunny Side Up,25,50,60,2,3,2
Scrambled,10,20,30,2,4,1
Omlette,0,30,30,3,1,3
Scrambled,15,45,60,3,4,1
Fried,20,20,60,2,4,1
Sunny Side Up,30,60,90,3,3,3
Poached,27.5,20,35,2,1,2
Fried,20,20,30,3,2,1
Hard Boiled,10,20,25,2,3,2
Fried,15,27.5,40,2,3,2
Sunny Side Up,15,30,60,2,4,1
Scrambled,15,90,60,1,2,2
Omlette,15,20,25,2,3,3
Sunny Side Up,10,15,25,3,4,1
Fried,10,30,45,2,2,3
Scrambled,20,30,90,3,1,4
Sunny Side Up,15,10,20,2,3,3
Scrambled,10,10,30,2,4,2
Omlette,25,30,35,4,3,3
Hard Boiled,30,80,70,3,3,4
Scrambled,5,10,60,2,4,2
Scrambled,10,10,60,2,4,2
Fried,30,30,30,2,3,1
Scrambled,15,20,60,3,4,3
Scrambled,20,15,25,2,3,3
Omlette,50,75,70,3,2,2
Fried,1,1,60,4,4,1
