datetime,season,weather,temp,humidity,windspeed,casual,registered,count,hour,day,row
1/1/11 0:00,3,2,6.66,76.62,9.57,5,128,133,0,1,1
1/1/11 1:00,4,3,13.54,55.91,4.01,36,184,220,1,1,2
1/1/11 2:00,1,3,29.58,20.97,33.61,34,97,131,2,1,3
1/1/11 3:00,3,1,7.4,61.64,15.85,6,47,53,3,1,4
1/1/11 4:00,3,4,30.66,98.71,11.47,14,199,213,4,1,5
1/1/11 5:00,4,1,7.76,61.84,19,20,20,40,5,1,6
1/1/11 6:00,1,4,30.03,34.59,29.65,37,158,195,6,1,7
1/1/11 7:00,1,1,15.82,21.77,33.59,35,185,220,7,1,8
1/1/11 8:00,3,3,23.37,48.38,32.26,22,174,196,8,1,9
1/1/11 9:00,2,1,9.59,93.46,43.16,28,22,50,9,1,10
1/1/11 10:00,3,4,6.99,99.72,10.94,12,90,102,10,1,11
1/1/11 11:00,3,2,11.48,95.63,31.84,4,6,10,11,1,12
1/1/11 12:00,3,4,8.84,78.35,5.06,46,127,173,12,1,13
1/1/11 13:00,3,2,14.37,64.65,27.4,38,48,86,13,1,14
1/1/11 14:00,4,3,20.43,67.25,29.2,38,98,136,14,1,15
1/1/11 15:00,1,4,22.66,63.12,10.81,41,30,71,15,1,16
1/1/11 16:00,4,1,28.7,76.56,19.58,44,124,168,16,1,17
1/1/11 17:00,4,4,24.69,53.51,41.36,42,174,216,17,1,18
1/1/11 18:00,4,2,23.26,73.54,7.42,0,92,92,18,1,19
1/1/11 19:00,3,3,17.35,29.73,21.73,19,195,214,19,1,20
1/1/11 20:00,2,1,19.21,41.26,46.64,42,34,76,20,1,21
1/1/11 21:00,1,4,17.44,86.88,25.21,0,33,33,21,1,22
1/1/11 22:00,2,2,30.26,92.3,36.26,34,185,219,22,2,23
1/1/11 23:00,4,1,11.9,63.12,41.34,39,14,53,23,2,24
1/2/11 0:00,4,3,5.17,22.53,10.19,44,77,121,0,2,25
1/2/11 1:00,2,1,24.54,94.16,10.91,6,84,90,1,2,26
1/2/11 2:00,2,3,11.07,76.17,37.93,34,70,104,2,2,27
1/2/11 3:00,2,1,31.7,53.12,37.67,33,80,113,3,2,28
1/2/11 4:00,4,4,30.77,67.87,3.01,49,169,218,4,2,29
1/2/11 5:00,4,2,7.3,54.38,16.12,4,145,149,5,2,30
1/2/11 6:00,1,4,8.19,57.23,19.93,28,37,65,6,2,31
1/2/11 7:00,1,4,19.86,90.94,41.45,49,63,112,7,2,32
1/2/11 8:00,4,3,23.28,32.89,21.09,47,28,75,8,2,33
1/2/11 9:00,2,3,13.25,28.29,46.3,26,117,143,9,2,34
1/2/11 10:00,2,3,26.5,20.22,49.83,6,114,120,10,2,35
1/2/11 11:00,1,4,22.85,45.12,39.04,0,9,9,11,2,36
1/2/11 12:00,4,1,14.74,31.79,33.32,8,16,24,12,2,37
1/2/11 13:00,1,1,5.76,37.6,19.59,46,159,205,13,2,38
1/2/11 14:00,1,4,27.5,20.9,3.35,0,188,188,14,2,39
1/2/11 15:00,3,4,11.44,38.18,28.66,26,114,140,15,2,40
1/2/11 16:00,3,2,30.03,46.62,18.09,16,83,99,16,2,41
1/2/11 17:00,3,3,17.61,22.53,17.54,31,80,111,17,2,42
1/2/11 18:00,2,3,22.31,68.63,34.39,40,173,213,18,2,43
1/2/11 19:00,4,4,31.19,65.5,23.18,29,70,99,19,2,44
1/2/11 20:00,4,4,30.91,27.76,37.6,14,114,128,20,2,45
1/2/11 21:00,4,1,16.15,67.6,19.91,41,55,96,21,2,46
1/2/11 22:00,4,4,11.27,99.89,7.54,27,60,87,22,3,47
1/2/11 23:00,3,1,28.25,95.56,23.07,2,102,104,23,3,48
1/3/11 0:00,2,4,17.99,20.21,47.55,27,43,70,0,3,49
1/3/11 1:00,2,2,10.76,83.63,40.08,4,165,169,1,3,50
1/3/11 2:00,3,2,32.13,48.29,10.29,1,103,104,2,3,51
1/3/11 3:00,2,1,10.94,25.09,19.57,37,177,214,3,3,52
1/3/11 4:00,3,3,5.77,43.68,46.39,15,73,88,4,3,53
1/3/11 5:00,4,2,5.61,45.74,6.18,43,31,74,5,3,54
1/3/11 6:00,3,1,23.67,61.86,12.7,16,120,136,6,3,55
1/3/11 7:00,4,4,24.85,72.89,13.11,11,89,100,7,3,56
1/3/11 8:00,4,4,14.33,79.92,28.55,25,52,77,8,3,57
1/3/11 9:00,1,1,14.6,39.67,20.54,48,175,223,9,3,58
1/3/11 10:00,3,3,15.18,45.74,3.99,6,0,6,10,3,59
1/3/11 11:00,1,1,25.4,44.67,31.46,23,102,125,11,3,60
1/3/11 12:00,3,1,6.74,49.02,4.95,15,117,132,12,3,61
1/3/11 13:00,3,2,32.87,99.97,30.32,17,29,46,13,3,62
1/3/11 14:00,1,1,11.68,82.24,25.35,7,8,15,14,3,63
