Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
Shai Gilgeous-Alexander,26,OKC,PG,44,44,1513,497,942,0.528,88,251,0.351,409,691,0.592,0.574,329,363,0.906,39,194,233,264,91,47,118,96,1411,0,,gilgesh01
Anthony Edwards,23,MIN,SG,46,46,1685,412,933,0.442,189,451,0.419,223,482,0.463,0.543,195,236,0.826,35,225,260,202,53,25,154,88,1208,0,,edwaran01
Nikola Jokić,29,DEN,C,40,40,1456,458,803,0.57,81,171,0.474,377,632,0.597,0.621,203,250,0.812,133,391,524,407,72,26,125,81,1200,21,,jokicni01
Giannis Antetokounmpo,30,MIL,PF,38,38,1324,477,789,0.605,4,28,0.143,473,761,0.622,0.607,240,410,0.585,82,380,462,223,29,52,131,90,1198,5,,antetgi01
Jalen Brunson,28,NYK,PG,46,46,1616,410,840,0.488,110,273,0.403,300,567,0.529,0.554,257,316,0.813,20,112,132,339,41,2,108,102,1187,0,,brunsja01
Jayson Tatum,26,BOS,PF,44,44,1602,397,877,0.453,157,448,0.35,240,429,0.559,0.542,233,291,0.801,27,368,395,240,56,22,124,100,1184,1,,tatumja01
De'Aaron Fox,27,SAC,PG,43,43,1598,399,852,0.468,88,272,0.324,311,580,0.536,0.52,199,241,0.826,44,169,213,267,65,20,130,115,1085,0,,foxde01
Anthony Davis,31,LAL,C,41,41,1430,398,755,0.527,28,94,0.298,370,661,0.56,0.546,253,321,0.788,117,380,497,141,53,90,92,82,1077,0,,davisan02
Tyler Herro,25,MIA,SG,44,44,1563,368,776,0.474,171,427,0.4,197,349,0.564,0.584,155,178,0.871,14,231,245,236,31,5,108,61,1062,0,,herroty01
Karl-Anthony Towns,29,NYK,C,42,42,1455,376,696,0.54,86,199,0.432,290,497,0.584,0.602,207,246,0.841,130,451,581,141,43,34,109,144,1045,0,,townska01
Donovan Mitchell,28,CLE,SG,44,44,1382,364,819,0.444,161,406,0.397,203,413,0.492,0.543,154,185,0.832,31,163,194,203,63,10,86,89,1043,0,,mitchdo01
Cade Cunningham,23,DET,PG,42,42,1494,392,867,0.452,97,267,0.363,295,600,0.492,0.508,160,194,0.825,38,231,269,393,39,34,194,115,1041,7,,cunnica01
Jaren Jackson Jr.,25,MEM,C,45,45,1329,375,751,0.499,83,234,0.355,292,517,0.565,0.555,194,248,0.782,67,212,279,95,61,74,99,149,1027,0,,jacksja02
Devin Booker,28,PHO,SG,40,40,1474,333,755,0.441,107,313,0.342,226,442,0.511,0.512,246,275,0.895,40,121,161,266,48,12,97,91,1019,0,,bookede01
Zach LaVine,29,CHI,SF,42,42,1432,363,710,0.511,136,305,0.446,227,405,0.56,0.607,145,182,0.797,12,190,202,189,39,10,121,64,1007,0,,lavinza01
Tyrese Maxey,24,PHI,PG,37,37,1403,341,790,0.432,121,357,0.339,220,433,0.508,0.508,182,211,0.863,9,120,129,223,73,16,90,80,985,1,,maxeyty01
Darius Garland,25,CLE,PG,45,45,1366,350,701,0.499,134,315,0.425,216,386,0.56,0.595,143,162,0.883,26,88,114,306,49,9,109,89,977,0,,garlada01
LeBron James,40,LAL,SF,41,41,1430,377,739,0.51,87,227,0.383,290,512,0.566,0.569,128,169,0.757,38,273,311,367,35,23,155,54,969,9,,jamesle01
Trae Young,26,ATL,PG,42,42,1515,292,728,0.401,122,354,0.345,170,374,0.455,0.485,250,293,0.853,22,119,141,482,55,10,193,82,956,0,,youngtr01
