Year,Month,Data #,Degrees
1882,1,1,-10.6
1882,2,2,-35.6
1882,3,3,-40.6
1882,4,4,-42.3
1882,5,5,-36.5
1882,6,6,-19.6
1882,7,7,-5.20
1882,8,8,8.50
1882,9,9,12.90
1882,10,10,19.90
1882,11,11,14.10
1882,12,12,4.80
1883,1,13,-8.90
1883,2,14,-28.9
1883,3,15,-40.2
1883,4,16,-41.9
1883,5,17,-32.8
1883,6,18,-25.0
1883,7,19,-9.00
1883,8,20,1.90
1883,9,21,14.60
1883,10,22,21.40
1883,11,23,15.20
1883,12,24,6.90
1884,1,25,-7.40
1884,2,26,-24.9
1884,3,27,-38.5
1884,4,28,-45.1
1884,5,29,-36.4
1884,6,30,-17.8
1884,7,31,-11.6
1884,8,32,2.10
1884,9,33,13.20
1884,10,34,19.30
1884,11,35,13.60
1884,12,36,5.50
1885,1,37,-8.50
1885,2,38,-28.5
1885,3,39,-42.0
1885,4,40,-42.6
1885,5,41,-33.1
1885,6,42,-23.0
1885,7,43,-6.50
1885,8,44,3.50
1885,9,45,12.70
1885,10,46,15.80
1885,11,47,10.40
1885,12,48,5.00
1886,1,49,-9.60
1886,2,50,-28.9
1886,3,51,-39.7
1886,4,52,-43.5
1886,5,53,-32.2
1886,6,54,-17.2
1886,7,55,-6.50
1886,8,56,6.30
1886,9,57,17.70
1886,10,58,17.20
1886,11,59,11.20
1886,12,60,7.20
1887,1,61,-7.90
1887,2,62,-32.4
1887,3,63,-40.4
1887,4,64,-43.3
1887,5,65,-39.8
1887,6,66,-24.8
1887,7,67,-8.20
1887,8,68,5.70
1887,9,69,13.80
1887,10,70,17.50
1887,11,71,15.00
1887,12,72,4.80
1888,1,73,-7.90
1888,2,74,-25.6
1888,3,75,-43.1
1888,4,76,-44.8
1888,5,77,-28.0
1888,6,78,-23.4
1888,7,79,-6.10
1888,8,80,5.90
1888,9,81,16.70
1888,10,82,19.70
1888,11,83,13.20
1888,12,84,6.70
1889,1,85,-10.5
1889,2,86,-29.2
1889,3,87,-39.2
1889,4,88,-46.1
1889,5,89,-39.0
1889,6,90,-21.3
1889,7,91,-5.40
1889,8,92,5.50
1889,9,93,16.70
1889,10,94,19.10
1889,11,95,15.00
1889,12,96,9.30
1890,1,97,-4.80
1890,2,98,-30.3
1890,3,99,-43.0
1890, 4   1,0,-45.5
1890, 5   1,1,-35.3
1890, 6   1,2,-16.2
1890, 7   1,3,-6.60
1890, 8   1,4,7.20
1890, 9   1,5,16.20
1890,10   1,6,18.80
1890,11   1,7,14.50
1890,12   1,8,5.60
1891, 1   1,9,-10.2
1891, 2   1,10,-29.5
1891, 3   1,11,-38.0
1891, 4   1,12,-46.3
1891, 5   1,13,-40.5
1891, 6   1,14,-22.6
1891, 7   1,15,-7.00
1891, 8   1,16,6.80
1891, 9   1,17,17.10
1891,10   1,18,15.80
1891,11   1,19,14.10
1891,12   1,20,5.40
1892, 1   1,21,-5.70
1892, 2   1,22,-28.2
1892, 3   1,23,-40.4
1892, 4   1,24,-42.3
1892, 5   1,25,-37.3
1892, 6   1,26,-22.0
1892, 7   1,27,-4.80
1892, 8   1,28,8.20
1892, 9   1,29,17.40
1892,10   1,30,21.30
1892,11   1,31,12.70
1892,12   1,32,6.10
1893, 1   1,33,-6.90
1893, 2   1,34,-27.3
1893, 3   1,35,-38.2
1893, 4   1,36,-44.2
1893, 5   1,37,-38.3
1893, 6   1,38,-18.8
1893, 7   1,39,-4.90
1893, 8   1,40,5.60
1893, 9   1,41,13.60
1893,10   1,42,21.70
1893,11   1,43,14.60
1893,12   1,44,5.90
1894, 1   1,45,-10.0
1894, 2   1,46,-27.8
1894, 3   1,47,-36.9
1894, 4   1,48,-49.8
1894, 5   1,49,-37.3
1894, 6   1,50,-24.9
1894, 7   1,51,-9.30
1894, 8   1,52,3.00
1894, 9   1,53,18.00
1894,10   1,54,19.80
1894,11   1,55,15.30
1894,12   1,56,7.60
1895, 1   1,57,-8.30
1895, 2   1,58,-30.1
1895, 3   1,59,-37.2
1895, 4   1,60,-40.3
1895, 5   1,61,-32.8
1895, 6   1,62,-21.9
1895, 7   1,63,-13.2
1895, 8   1,64,3.50
1895, 9   1,65,15.00
1895,10   1,66,18.50
1895,11   1,67,16.60
1895,12   1,68,7.90
1896, 1   1,69,-5.50
1896, 2   1,70,-26.8
1896, 3   1,71,-42.3
1896, 4   1,72,-49.4
1896, 5   1,73,-33.8
1896, 6   1,74,-23.2
1896, 7   1,75,-6.20
1896, 8   1,76,7.10
1896, 9   1,77,15.80
1896,10   1,78,19.90
1896,11   1,79,15.10
1896,12   1,80,5.50
1897, 1   1,81,-6.50
1897, 2   1,82,-23.4
1897, 3   1,83,-34.7
1897, 4   1,84,-42.9
1897, 5   1,85,-29.5
1897, 6   1,86,-25.9
1897, 7   1,87,-11.7
1897, 8   1,88,6.00
1897, 9   1,89,14.70
1897,10   1,90,17.00
1897,11   1,91,15.70
1897,12   1,92,4.10
1898, 1   1,93,-9.60
1898, 2   1,94,-32.0
1898, 3   1,95,-41.2
1898, 4   1,96,-42.4
1898, 5   1,97,-35.4
1898, 6   1,98,-22.1
1898, 7   1,99,-10.4
1898, 8   2,0,4.20
1898, 9   2,1,13.10
1898,10   2,2,18.90
1898,11   2,3,17.90
1898,12   2,4,7.10
1899, 1   2,5,-4.70
1899, 2   2,6,-30.0
1899, 3   2,7,-45.3
1899, 4   2,8,-51.4
1899, 5   2,9,-43.7
1899, 6   2,10,-22.0
1899, 7   2,11,-6.10
1899, 8   2,12,6.10
1899, 9   2,13,12.50
1899,10   2,14,16.40
1899,11   2,15,14.20
1899,12   2,16,8.30
1900, 1   2,17,-7.30
1900, 2   2,18,-29.0
1900, 3   2,19,-39.5
1900, 4   2,20,-44.4
1900, 5   2,21,-36.2
1900, 6   2,22,-19.0
1900, 7   2,23,-5.30
1900, 8   2,24,5.40
1900, 9   2,25,15.80
1900,10   2,26,18.40
1900,11   2,27,15.40
1900,12   2,28,5.70
1901, 1   2,29,-9.50
1901, 2   2,30,-27.2
1901, 3   2,31,-38.8
1901, 4   2,32,-48.6
1901, 5   2,33,-34.2
1901, 6   2,34,-24.2
1901, 7   2,35,-9.30
1901, 8   2,36,2.30
1901, 9   2,37,16.20
1901,10   2,38,18.50
1901,11   2,39,13.90
1901,12   2,40,5.30
1902, 1   2,41,-10.2
1902, 2   2,42,-31.5
1902, 3   2,43,-37.9
1902, 4   2,44,-37.4
1902, 5   2,45,-27.5
1902, 6   2,46,-18.9
1902, 7   2,47,-11.2
1902, 8   2,48,6.20
1902, 9   2,49,16.10
1902,10   2,50,18.70
1902,11   2,51,14.30
1902,12   2,52,5.80
1903, 1   2,53,-10.1
1903, 2   2,54,-22.0
1903, 3   2,55,-44.0
1903, 4   2,56,-38.7
1903, 5   2,57,-37.2
1903, 6   2,58,-21.0
1903, 7   2,59,-5.50
1903, 8   2,60,3.40
1903, 9   2,61,11.90
1903,10   2,62,16.80
1903,11   2,63,13.10
1903,12   2,64,5.50
1904, 1   2,65,-10.3
1904, 2   2,66,-23.3
1904, 3   2,67,-37.3
1904, 4   2,68,-35.8
1904, 5   2,69,-37.5
1904, 6   2,70,-21.7
1904, 7   2,71,-10.4
1904, 8   2,72,3.50
1904, 9   2,73,14.30
1904,10   2,74,16.70
1904,11   2,75,13.00
1904,12   2,76,6.00
1905, 1   2,77,-10.6
1905, 2   2,78,-30.4
1905, 3   2,79,-41.9
1905, 4   2,80,-41.2
1905, 5   2,81,-36.6
1905, 6   2,82,-20.3
1905, 7   2,83,-7.30
1905, 8   2,84,6.20
1905, 9   2,85,18.30
1905,10   2,86,18.80
1905,11   2,87,16.20
1905,12   2,88,7.00
1906, 1   2,89,-6.40
1906, 2   2,90,-30.2
1906, 3   2,91,-31.6
1906, 4   2,92,-45.7
1906, 5   2,93,-34.0
1906, 6   2,94,-23.2
1906, 7   2,95,-5.90
1906, 8   2,96,5.80
1906, 9   2,97,14.30
1906,10   2,98,18.60
1906,11   2,99,14.30
1906,12   3,0,6.30
1907, 1   3,1,-5.40
1907, 2   3,2,-26.3
1907, 3   3,3,-46.7
1907, 4   3,4,-46.6
1907, 5   3,5,-33.3
1907, 6   3,6,-23.6
1907, 7   3,7,-7.30
1907, 8   3,8,6.20
1907, 9   3,9,17.00
1907,10   3,10,21.70
1907,11   3,11,12.10
1907,12   3,12,9.60
1908, 1   3,13,-4.00
1908, 2   3,14,-27.1
1908, 3   3,15,-43.0
1908, 4   3,16,-50.9
1908, 5   3,17,-38.7
1908, 6   3,18,-23.1
1908, 7   3,19,-6.90
1908, 8   3,20,3.00
1908, 9   3,21,13.20
1908,10   3,22,18.50
1908,11   3,23,15.80
1908,12   3,24,5.30
1909, 1   3,25,-5.50
1909, 2   3,26,-32.3
1909, 3   3,27,-34.7
1909, 4   3,28,-40.0
1909, 5   3,29,-33.8
1909, 6   3,30,-20.4
1909, 7   3,31,-6.90
1909, 8   3,32,5.00
1909, 9   3,33,15.80
1909,10   3,34,22.10
1909,11   3,35,16.70
1909,12   3,36,8.10
1910, 1   3,37,-4.70
1910, 2   3,38,-27.3
1910, 3   3,39,-42.2
1910, 4   3,40,-44.8
1910, 5   3,41,-32.3
1910, 6   3,42,-21.3
1910, 7   3,43,-6.30
1910, 8   3,44,4.10
1910, 9   3,45,12.70
1910,10   3,46,15.40
1910,11   3,47,16.90
1910,12   3,48,2.60
1911, 1   3,49,-5.80
1911, 2   3,50,-25.2
1911, 3   3,51,-41.5
1911, 4   3,52,-39.3
1911, 5   3,53,-38.8
